,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Boston Celtics*,72.0,,2604.0,6533.0,0.399,,,,2604.0,6533.0,0.399,2097.0,2704.0,0.776,,,4293.0,1905.0,,,,1859.0,7305.0
1,2.0,Minneapolis Lakers*,72.0,,2506.0,6465.0,0.388,,,,2506.0,6465.0,0.388,1873.0,2517.0,0.744,,,3865.0,1468.0,,,,1935.0,6885.0
2,3.0,Philadelphia Warriors,72.0,,2392.0,6234.0,0.384,,,,2392.0,6234.0,0.384,1928.0,2625.0,0.734,,,4238.0,1744.0,,,,1716.0,6712.0
3,4.0,New York Knicks*,72.0,,2392.0,6149.0,0.389,,,,2392.0,6149.0,0.389,1887.0,2593.0,0.728,,,4379.0,1744.0,,,,1587.0,6671.0
4,5.0,Fort Wayne Pistons*,72.0,,2333.0,5980.0,0.39,,,,2333.0,5980.0,0.39,1986.0,2710.0,0.733,,,3826.0,1737.0,,,,1753.0,6652.0
5,6.0,Syracuse Nationals*,72.0,,2360.0,6343.0,0.372,,,,2360.0,6343.0,0.372,1837.0,2450.0,0.75,,,3933.0,1778.0,,,,1658.0,6557.0
6,7.0,Rochester Royals*,72.0,,2399.0,6020.0,0.399,,,,2399.0,6020.0,0.399,1737.0,2420.0,0.718,,,3904.0,1695.0,,,,1865.0,6535.0
7,8.0,Milwaukee Hawks,72.0,,2187.0,6041.0,0.362,,,,2187.0,6041.0,0.362,1917.0,2672.0,0.717,,,3854.0,1544.0,,,,1904.0,6291.0
8,9.0,Baltimore Bullets,,,,,,,,,,,,,,,,,,,,,,,
9,,League Average,72.0,,2397.0,6221.0,,,,,2397.0,6221.0,0.385,1908.0,2586.0,,,,4037.0,1702.0,,,,1785.0,6701.0
