,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Los Angeles Lakers*,80,240.6,45.0,101.4,0.444,,,,45.0,101.4,0.444,29.5,38.2,0.773,,,66.7,24.2,,,,25.4,119.5
1,2.0,Baltimore Bullets*,80,240.6,45.0,102.6,0.438,,,,45.0,102.6,0.438,28.3,39.8,0.712,,,69.3,23.6,,,,27.5,118.3
2,3.0,Cincinnati Royals*,80,240.9,45.1,101.5,0.444,,,,45.1,101.5,0.444,27.6,36.3,0.758,,,69.5,22.7,,,,25.4,117.8
3,4.0,Philadelphia 76ers*,80,240.6,45.6,102.4,0.446,,,,45.6,102.4,0.446,26.1,39.3,0.664,,,70.7,23.8,,,,26.2,117.3
4,5.0,New York Knicks,80,240.9,44.5,98.9,0.45,,,,44.5,98.9,0.45,27.7,38.5,0.72,,,64.0,23.7,,,,27.8,116.7
5,6.0,San Francisco Warriors,80,240.3,44.5,106.4,0.418,,,,44.5,106.4,0.418,26.6,36.0,0.739,,,71.6,23.4,,,,25.9,115.5
6,7.0,Boston Celtics*,80,240.3,43.6,104.6,0.417,,,,43.6,104.6,0.417,25.5,34.5,0.739,,,69.9,22.4,,,,25.2,112.7
7,8.0,St. Louis Hawks*,80,240.0,42.2,98.0,0.431,,,,42.2,98.0,0.431,26.9,35.9,0.751,,,64.6,22.3,,,,27.2,111.4
8,9.0,Detroit Pistons,80,240.0,43.4,106.3,0.409,,,,43.4,106.3,0.409,23.5,34.2,0.687,,,67.8,19.6,,,,25.2,110.3
9,,League Average,80,240.5,44.3,102.4,0.433,,,,44.3,102.4,0.433,26.9,37.0,0.727,,,68.2,22.9,,,,26.2,115.5
