,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Boston Celtics*,80,19225,,,,,,,,,,,,,,,,,,,,,8623
1,2.0,St. Louis Hawks*,80,19200,,,,,,,,,,,,,,,,,,,,,8958
2,3.0,Philadelphia 76ers*,80,19250,,,,,,,,,,,,,,,,,,,,,9013
3,4.0,Los Angeles Lakers*,80,19250,,,,,,,,,,,,,,,,,,,,,9309
4,5.0,Cincinnati Royals*,80,19275,,,,,,,,,,,,,,,,,,,,,9331
5,6.0,Detroit Pistons,80,19200,,,,,,,,,,,,,,,,,,,,,9373
6,7.0,San Francisco Warriors,80,19225,,,,,,,,,,,,,,,,,,,,,9455
7,8.0,New York Knicks,80,19275,,,,,,,,,,,,,,,,,,,,,9543
8,9.0,Baltimore Bullets*,80,19250,,,,,,,,,,,,,,,,,,,,,9560
9,,League Average,80,19239,3546.0,8195.0,0.433,,,,3546.0,8195.0,0.433,2149.0,2957.0,0.727,,,5458.0,1829.0,,,,2096.0,9241
