,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,Philadelphia 76ers*,62,20,.756,—,122.6,114.0,7.96,East,1.0
2,Boston Celtics*,54,28,.659,8.0,116.1,112.0,3.87,East,2.0
3,New York Knicks*,43,39,.524,19.0,116.1,114.3,1.78,East,3.0
4,Detroit Pistons*,40,42,.488,22.0,118.6,120.6,-1.70,East,4.0
5,Cincinnati Royals,39,43,.476,23.0,116.6,117.5,-0.64,East,5.0
6,Baltimore Bullets,36,46,.439,26.0,117.4,117.8,-0.23,East,6.0
8,St. Louis Hawks*,56,26,.683,—,113.0,110.3,2.37,West,1.0
9,Los Angeles Lakers*,52,30,.634,4.0,121.2,115.6,4.99,West,2.0
10,San Francisco Warriors*,43,39,.524,13.0,117.0,117.6,-0.66,West,3.0
11,Chicago Bulls*,29,53,.354,27.0,109.5,113.5,-3.76,West,4.0
12,Seattle SuperSonics,23,59,.280,33.0,118.7,125.1,-6.00,West,5.0
13,San Diego Rockets,15,67,.183,41.0,112.4,121.0,-7.94,West,6.0
