,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,New York Knicks*,82,240.6,,,,,,,,,,,,,,,,,,,,,105.1
1,2.0,Boston Celtics*,82,241.8,,,,,,,,,,,,,,,,,,,,,105.4
2,3.0,Chicago Bulls,82,240.9,,,,,,,,,,,,,,,,,,,,,107.0
3,4.0,Los Angeles Lakers*,82,242.7,,,,,,,,,,,,,,,,,,,,,108.1
4,5.0,Atlanta Hawks*,82,240.6,,,,,,,,,,,,,,,,,,,,,109.0
5,6.0,San Francisco Warriors*,82,242.7,,,,,,,,,,,,,,,,,,,,,110.7
6,7.0,Baltimore Bullets*,82,240.9,,,,,,,,,,,,,,,,,,,,,112.1
7,8.0,Philadelphia 76ers*,82,241.5,,,,,,,,,,,,,,,,,,,,,113.8
8,9.0,Milwaukee Bucks,82,240.0,,,,,,,,,,,,,,,,,,,,,115.4
9,10.0,San Diego Rockets*,82,241.2,,,,,,,,,,,,,,,,,,,,,115.5
10,11.0,Cincinnati Royals,82,241.5,,,,,,,,,,,,,,,,,,,,,115.6
11,12.0,Seattle SuperSonics,82,241.8,,,,,,,,,,,,,,,,,,,,,116.9
12,13.0,Detroit Pistons,82,240.9,,,,,,,,,,,,,,,,,,,,,117.3
13,14.0,Phoenix Suns,82,241.5,,,,,,,,,,,,,,,,,,,,,120.5
14,,League Average,82,241.4,43.7,99.0,0.441,,,,43.7,99.0,0.441,25.0,35.0,0.714,,,56.9,23.1,,,,25.5,112.3
