,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Los Angeles Lakers*,30.3,60.0,22.0,62,20,8.54,-0.35,8.16,99.4,91.8,7.6,112.0,0.29,,0.52,,0.478,,,0.215,,0.434,,,0.139,,The Forum,664872.0,
1,2.0,Milwaukee Bucks*,26.4,60.0,22.0,62,20,8.22,-0.38,7.84,98.6,91.1,7.5,108.3,0.216,,0.514,,0.481,,,0.163,,0.422,,,0.168,,Milwaukee Arena,,
2,3.0,Boston Celtics*,28.0,68.0,14.0,61,21,8.2,-0.85,7.35,98.1,91.0,7.1,114.5,0.244,,0.49,,0.448,,,0.19,,0.434,,,0.19,,Boston Garden,423234.0,
3,4.0,New York Knicks*,28.7,57.0,25.0,59,23,6.79,-0.72,6.07,98.9,92.5,6.4,105.9,0.224,,0.505,,0.467,,,0.175,,0.435,,,0.195,,Madison Square Garden (IV),,
4,5.0,Chicago Bulls*,27.7,51.0,31.0,51,31,3.49,-0.06,3.43,98.9,95.6,3.3,104.5,0.265,,0.488,,0.444,,,0.201,,0.471,,,0.22,,Chicago Stadium,,
5,6.0,Baltimore Bullets*,26.3,52.0,30.0,50,32,3.35,-0.5,2.85,96.3,93.3,3.0,108.7,0.221,,0.497,,0.464,,,0.164,,0.441,,,0.158,,Baltimore Civic Center,,
6,7.0,Golden State Warriors*,28.6,47.0,35.0,49,33,3.1,0.03,3.12,96.8,94.0,2.8,112.2,0.229,,0.496,,0.455,,,0.183,,0.441,,,0.179,,Oakland-Alameda County Coliseum Arena,,
7,8.0,Detroit Pistons,25.4,40.0,42.0,42,40,0.22,0.32,0.54,98.4,98.2,0.2,111.5,0.29,,0.507,,0.463,,,0.216,,0.472,,,0.176,,Cobo Arena,,
8,9.0,Atlanta Hawks*,27.1,46.0,36.0,41,41,0.09,-0.24,-0.15,98.0,98.0,0.0,113.8,0.309,,0.505,,0.461,,,0.226,,0.461,,,0.208,,Omni Coliseum,,
9,10.0,Phoenix Suns,26.2,38.0,44.0,38,44,-1.28,0.32,-0.96,98.4,99.5,-1.1,113.0,0.307,,0.508,,0.455,,,0.243,,0.469,,,0.218,,Arizona Veterans Memorial Coliseum,,
10,11.0,Houston Rockets,25.7,33.0,49.0,37,45,-1.73,-0.08,-1.81,97.9,99.4,-1.5,115.2,0.261,,0.503,,0.457,,,0.207,,0.471,,,0.215,,Hofheinz Pavilion,,
11,12.0,Cleveland Cavaliers,26.2,32.0,50.0,34,48,-2.67,0.03,-2.64,94.0,96.5,-2.5,108.3,0.264,,0.478,,0.435,,,0.197,,0.452,,,0.222,,Cleveland Arena,,
12,13.0,Kansas City-Omaha Kings,26.3,36.0,46.0,33,49,-2.91,0.53,-2.36,99.7,102.4,-2.7,107.3,0.269,,0.52,,0.478,,,0.208,,0.484,,,0.218,,Municipal Auditorium,,
13,14.0,Seattle SuperSonics,25.1,26.0,56.0,26,56,-5.9,0.58,-5.33,93.8,99.1,-5.3,110.0,0.271,,0.494,,0.449,,,0.209,,0.454,,,0.201,,Seattle Center Coliseum,,
14,15.0,Portland Trail Blazers,24.0,21.0,61.0,25,57,-6.23,0.56,-5.67,95.9,101.5,-5.6,110.4,0.271,,0.496,,0.458,,,0.195,,0.477,,,0.231,,Memorial Coliseum,,
15,16.0,Buffalo Braves,24.7,21.0,61.0,19,63,-9.17,0.32,-8.85,92.9,101.2,-8.3,110.9,0.25,,0.484,,0.449,,,0.178,,0.471,,,0.218,,Buffalo Memorial Auditorium,,
16,17.0,Philadelphia 76ers,27.6,9.0,73.0,15,67,-12.09,0.58,-11.5,90.2,100.6,-10.4,115.2,0.258,,0.464,,0.42,,,0.193,,0.473,,,0.215,,The Spectrum,,
17,,League Average,26.7,,,41,41,0.0,0.01,0.01,96.8,96.8,,110.7,0.261,,0.498,,0.456,,,0.198,,0.456,,,0.198,,,544053.0,2025.0
