,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,36,LAL,21,0.0,36.5,9.8,17.7,0.555,0.0,0.0,0.0,9.8,17.7,0.555,0.555,4.3,5.7,0.75,2.7,5.6,8.2,3.8,1.1,2.1,2.1,3.4,23.9
1,Alvan Adams,C,29,PHO,17,0.0,18.4,3.1,7.4,0.421,0.0,0.0,0.0,3.1,7.4,0.421,0.421,2.1,3.1,0.679,1.6,3.5,5.1,2.5,1.0,0.6,2.0,3.1,8.4
2,Mark Aguirre,SF,24,DAL,10,0.0,35.0,8.8,18.4,0.478,0.0,0.5,0.0,8.8,17.9,0.492,0.478,4.4,5.7,0.772,2.1,5.5,7.6,3.2,0.5,0.5,2.7,3.4,22.0
3,Danny Ainge,SG,24,BOS,19,0.0,13.3,2.2,4.7,0.456,0.1,0.5,0.222,2.1,4.3,0.481,0.467,0.4,0.5,0.7,0.2,0.6,0.8,2.0,0.5,0.1,0.7,1.9,4.8
4,J.J. Anderson,SF,23,UTA,5,0.0,2.6,1.0,1.6,0.625,0.2,0.2,1.0,0.8,1.4,0.571,0.688,0.0,0.0,0.0,0.6,0.2,0.8,0.0,0.0,0.2,0.0,0.4,2.2
5,Richard Anderson,PF,23,DEN,4,0.0,9.3,1.5,3.8,0.4,0.0,0.3,0.0,1.5,3.5,0.429,0.4,1.0,1.5,0.667,0.3,2.0,2.3,1.3,0.0,0.3,0.3,1.5,4.0
6,Thurl Bailey,PF,22,UTA,11,0.0,30.9,4.5,8.8,0.515,0.0,0.2,0.0,4.5,8.6,0.526,0.515,1.5,1.9,0.81,1.4,4.2,5.5,0.9,0.2,1.0,1.5,3.0,10.6
7,Greg Ballard,SF,29,WSB,4,0.0,42.0,6.8,14.8,0.458,0.0,0.3,0.0,6.8,14.5,0.466,0.458,3.0,3.3,0.923,1.8,4.3,6.0,3.5,1.8,0.8,2.0,3.0,16.5
8,Kent Benson,C,29,DET,5,0.0,25.8,3.2,7.4,0.432,0.0,0.0,0.0,3.2,7.4,0.432,0.432,1.2,2.0,0.6,1.8,4.2,6.0,1.4,1.0,1.4,0.6,2.8,7.6
9,Larry Bird*,PF,27,BOS,23,0.0,41.8,10.0,19.0,0.524,0.3,0.7,0.412,9.7,18.3,0.529,0.532,7.3,8.3,0.879,2.7,8.3,11.0,5.9,2.3,1.2,3.8,3.1,27.5
10,Otis Birdsong,SG,28,NJN,11,0.0,35.2,6.5,15.5,0.415,0.0,0.1,0.0,6.5,15.5,0.418,0.415,2.3,4.4,0.521,0.6,1.7,2.4,3.7,1.8,0.1,2.0,3.5,15.2
11,Rolando Blackman,SG,24,DAL,10,0.0,39.7,9.3,17.5,0.531,0.0,0.0,0.0,9.3,17.5,0.531,0.531,5.3,6.3,0.841,1.5,2.6,4.1,4.0,0.6,0.4,2.4,1.5,23.9
12,Tom Boswell,PF,30,UTA,5,0.0,11.0,0.6,0.8,0.75,0.0,0.0,0.0,0.6,0.8,0.75,0.75,0.4,1.0,0.4,0.4,0.8,1.2,0.4,0.0,0.2,0.8,2.4,1.6
13,Randy Breuer,C,23,MIL,12,0.0,5.5,0.9,2.2,0.423,0.0,0.0,0.0,0.9,2.2,0.423,0.423,0.3,0.4,0.6,0.5,0.9,1.4,0.3,0.0,0.5,0.2,1.5,2.1
14,Junior Bridgeman,SF,30,MIL,16,0.0,31.2,5.5,12.1,0.456,0.1,0.6,0.111,5.4,11.5,0.473,0.459,3.3,4.1,0.815,0.8,3.3,4.0,2.8,0.4,0.3,1.4,2.3,14.4
15,Fred Brown,SG,35,SEA,5,0.0,17.6,4.0,9.4,0.426,0.2,0.6,0.333,3.8,8.8,0.432,0.436,1.6,2.2,0.727,0.4,1.0,1.4,2.0,0.8,0.0,0.6,0.8,9.8
16,Rickey Brown,C,25,ATL,5,0.0,16.6,2.0,4.2,0.476,0.0,0.0,0.0,2.0,4.2,0.476,0.476,2.0,2.4,0.833,1.0,2.8,3.8,0.4,0.0,0.2,1.0,3.8,6.0
17,Quinn Buckner,PG,29,BOS,23,0.0,11.7,1.4,3.4,0.405,0.0,0.0,0.0,1.4,3.4,0.41,0.405,0.5,1.0,0.545,0.5,1.0,1.5,1.2,0.6,0.0,0.8,2.3,3.3
18,Don Buse,PG,33,KCK,3,0.0,16.7,2.3,5.3,0.438,1.0,2.0,0.5,1.3,3.3,0.4,0.531,1.3,2.0,0.667,0.0,1.0,1.0,3.7,0.3,0.3,1.0,1.7,7.0
19,Kenny Carr,PF,28,POR,5,0.0,36.0,6.2,11.8,0.525,0.0,0.0,0.0,6.2,11.8,0.525,0.525,2.4,3.8,0.632,2.2,4.8,7.0,1.2,0.4,0.4,2.0,4.4,14.8
20,M.L. Carr,SF,33,BOS,16,0.0,5.1,0.8,2.0,0.406,0.1,0.4,0.333,0.7,1.6,0.423,0.438,0.6,0.7,0.909,0.3,0.2,0.5,0.3,0.4,0.0,0.2,0.8,2.4
21,Howard Carter,SG,22,DEN,5,0.0,12.0,1.4,4.4,0.318,0.2,1.0,0.2,1.2,3.4,0.353,0.341,0.0,0.0,0.0,0.2,0.8,1.0,1.0,0.8,0.2,1.0,0.6,3.0
22,Bill Cartwright,C,26,NYK,12,0.0,33.2,5.8,10.5,0.556,0.0,0.0,0.0,5.8,10.5,0.556,0.556,5.8,6.7,0.863,2.3,6.0,8.3,0.4,0.2,1.2,2.2,3.7,17.4
23,Harvey Catchings,PF,32,MIL,5,0.0,5.0,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.4,0.5,0.5,0.2,0.4,0.5,0.4,0.6,1.0,0.2,0.0,0.0,0.4,1.4,0.6
24,Tom Chambers,PF,24,SEA,5,0.0,38.2,5.6,11.8,0.475,0.0,0.2,0.0,5.6,11.6,0.483,0.475,2.4,3.6,0.667,0.8,5.8,6.6,1.6,1.0,0.6,1.8,4.6,13.6
