,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Phoenix Suns*,82,19705,43.2,89.1,0.484,4.3,13.1,0.33,38.8,76.0,0.511,21.1,29.0,0.728,15.4,30.9,46.2,28.5,9.4,5.8,16.4,20.6,111.7
1,2,Seattle SuperSonics*,82,19730,42.7,88.2,0.484,3.1,9.2,0.335,39.6,79.0,0.501,22.6,30.4,0.745,14.7,28.6,43.2,27.0,13.5,4.7,16.1,24.5,111.1
2,3,Orlando Magic*,82,19730,42.7,88.0,0.485,5.0,14.5,0.347,37.7,73.4,0.513,20.3,30.0,0.678,15.0,30.1,45.2,26.5,8.7,5.8,17.0,21.9,110.8
3,4,San Antonio Spurs*,82,19780,42.8,90.0,0.475,3.4,9.6,0.349,39.4,80.4,0.49,21.5,29.0,0.742,16.0,35.0,51.0,25.5,7.6,6.1,16.1,22.4,110.4
4,5,Miami Heat*,82,19805,41.3,89.1,0.464,4.4,12.9,0.338,37.0,76.2,0.485,22.5,28.7,0.785,16.0,31.1,47.1,24.0,8.3,4.8,17.0,26.2,109.5
5,6,Cleveland Cavaliers*,82,19855,41.3,88.8,0.465,3.9,10.7,0.362,37.4,78.0,0.48,22.9,29.7,0.77,14.4,31.0,45.4,27.0,9.3,5.6,15.0,22.4,109.4
6,7,Utah Jazz*,82,19830,41.7,87.4,0.477,2.3,7.3,0.32,39.3,80.2,0.491,22.9,30.9,0.74,13.8,31.0,44.8,28.3,9.8,4.7,15.5,25.8,108.6
7,8,Charlotte Hornets,82,19830,42.0,88.1,0.476,4.2,11.4,0.367,37.8,76.7,0.493,20.3,26.5,0.764,12.6,30.7,43.4,27.5,9.0,4.9,15.7,21.7,108.4
8,9,Golden State Warriors*,82,19780,43.0,87.5,0.492,3.6,10.5,0.339,39.4,77.0,0.512,18.7,28.2,0.664,14.5,29.3,43.8,26.9,9.8,6.3,17.5,21.9,108.3
9,10,Portland Trail Blazers*,82,19755,41.5,91.3,0.454,3.3,9.5,0.353,38.1,81.9,0.466,21.9,29.5,0.743,16.0,30.2,46.3,25.5,9.1,5.0,14.9,22.5,108.1
10,11,Indiana Pacers*,82,19755,41.2,84.9,0.486,2.4,6.5,0.368,38.9,78.4,0.496,22.9,31.1,0.738,14.7,31.4,46.1,26.8,9.2,6.0,18.8,25.7,107.8
11,12,Atlanta Hawks*,82,19755,41.9,90.7,0.461,3.5,10.7,0.323,38.4,80.0,0.48,20.1,26.7,0.752,16.1,31.2,47.4,26.5,11.8,5.8,16.1,20.9,107.2
12,13,New Jersey Nets*,82,19830,40.1,90.1,0.445,2.8,8.7,0.327,37.3,81.5,0.458,24.1,31.6,0.762,16.5,32.4,48.8,24.1,8.8,7.3,15.2,21.4,107.2
13,14,Chicago Bulls*,82,19780,42.8,90.0,0.476,3.1,8.7,0.354,39.8,81.3,0.489,17.3,24.5,0.705,15.1,31.6,46.7,27.8,9.8,4.7,17.2,23.1,106.1
14,15,Houston Rockets*,82,19780,40.8,86.0,0.475,5.5,16.4,0.334,35.4,69.6,0.508,18.8,25.3,0.743,11.8,33.5,45.3,26.7,9.2,6.2,17.1,21.0,105.9
15,16,New York Knicks*,82,19755,40.5,88.1,0.46,4.1,11.9,0.348,36.4,76.3,0.477,20.5,27.4,0.746,15.4,33.3,48.6,27.0,9.8,5.0,17.8,26.2,105.7
16,17,Los Angeles Lakers,82,19755,41.9,93.1,0.45,3.1,10.2,0.3,38.8,82.9,0.468,17.9,25.0,0.717,16.0,28.1,44.1,25.2,9.6,5.9,15.2,23.9,104.8
17,18,Washington Bullets,82,19705,40.6,86.7,0.468,2.8,9.5,0.297,37.8,77.3,0.489,20.6,27.5,0.748,13.6,27.8,41.4,23.2,8.9,4.1,17.8,21.8,104.5
18,19,Boston Celtics,82,19905,42.0,89.0,0.472,1.7,6.0,0.289,40.3,83.0,0.486,18.4,25.3,0.73,13.1,30.0,43.1,24.3,8.5,5.5,15.7,23.3,104.2
19,20,Denver Nuggets*,82,19755,39.9,85.7,0.465,2.1,7.5,0.285,37.7,78.1,0.483,22.0,30.6,0.718,14.0,32.3,46.3,22.3,8.6,8.7,18.0,24.3,103.9
20,21,Sacramento Kings,82,19755,39.6,87.6,0.452,3.2,9.1,0.353,36.4,78.5,0.464,20.9,28.6,0.731,14.0,29.3,43.3,25.3,8.3,4.4,16.6,24.7,103.3
21,22,Los Angeles Clippers,82,19780,40.7,87.3,0.467,3.1,10.1,0.303,37.7,77.1,0.488,18.4,25.9,0.709,13.6,29.4,43.0,26.4,9.8,5.1,18.0,21.6,102.9
22,23,Detroit Pistons,82,19730,40.9,90.6,0.452,4.6,13.4,0.344,36.3,77.2,0.47,16.2,22.2,0.731,13.3,30.0,43.2,22.8,7.8,4.0,16.0,25.0,102.7
23,24,Milwaukee Bucks,82,19705,39.2,87.7,0.447,4.3,13.1,0.325,35.0,74.6,0.469,19.7,28.1,0.702,14.5,27.8,42.3,25.1,10.3,5.2,17.3,23.5,102.5
24,25,Minnesota Timberwolves,82,19730,38.4,84.0,0.457,2.4,7.2,0.329,36.0,76.8,0.469,22.8,29.6,0.772,12.7,30.1,42.8,25.3,7.7,5.7,19.0,25.9,101.9
25,26,Philadelphia 76ers,82,19805,39.3,86.4,0.455,4.0,11.9,0.338,35.3,74.4,0.474,19.1,26.8,0.714,12.8,30.3,43.1,23.1,8.4,6.6,17.3,18.8,101.7
26,27,Dallas Mavericks,82,19730,39.3,91.0,0.432,3.1,10.0,0.312,36.2,81.1,0.447,18.7,25.0,0.747,16.4,27.7,44.0,21.0,9.9,3.8,17.9,25.8,100.4
