,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Corner,Corner,Unnamed: 29_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%3PA,3P%,Unnamed: 29_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19730,0.431,11.4,,0.86,0.258,0.19,0.214,0.198,0.14,,0.443,0.612,0.32,0.387,0.403,0.357,,0.507,0.811,,0.037,224,,0.228,0.371,,10.0,1.0
1,2.0,Boston Celtics,82,19830,0.428,12.5,,0.748,0.287,0.161,0.121,0.18,0.252,,0.45,0.571,0.344,0.385,0.393,0.363,,0.532,0.926,,0.019,104,,0.261,0.39,,12.0,0.0
2,3.0,Charlotte Hornets*,82,19880,0.431,12.2,,0.849,0.27,0.134,0.18,0.265,0.151,,0.446,0.595,0.386,0.363,0.381,0.346,,0.65,0.885,,0.038,204,,0.178,0.406,,9.0,1.0
3,4.0,Chicago Bulls,82,19855,0.424,12.0,,0.852,0.275,0.151,0.175,0.251,0.148,,0.438,0.569,0.36,0.39,0.375,0.346,,0.634,0.894,,0.033,176,,0.132,0.36,,5.0,0.0
4,5.0,Cleveland Cavaliers,82,19830,0.442,10.9,,0.899,0.28,0.201,0.19,0.228,0.101,,0.455,0.622,0.335,0.41,0.392,0.334,,0.564,0.914,,0.034,197,,0.338,0.359,,22.0,1.0
5,6.0,Dallas Mavericks*,82,19805,0.459,12.3,,0.798,0.257,0.165,0.166,0.21,0.202,,0.479,0.656,0.347,0.413,0.419,0.381,,0.513,0.816,,0.031,192,,0.234,0.355,,14.0,0.0
6,7.0,Denver Nuggets,82,19780,0.433,12.3,,0.79,0.295,0.137,0.138,0.221,0.21,,0.454,0.615,0.357,0.366,0.354,0.355,,0.62,0.861,,0.048,288,,0.295,0.38,,5.0,0.0
7,8.0,Detroit Pistons,82,19855,0.424,12.2,,0.838,0.295,0.109,0.15,0.284,0.162,,0.439,0.571,0.319,0.35,0.394,0.35,,0.513,0.848,,0.036,226,,0.277,0.377,,5.0,0.0
8,9.0,Golden State Warriors,82,19780,0.409,11.5,,0.866,0.24,0.226,0.159,0.241,0.134,,0.427,0.653,0.313,0.336,0.371,0.293,,0.588,0.809,,0.024,149,,0.197,0.337,,8.0,1.0
9,10.0,Houston Rockets,82,19830,0.453,12.2,,0.783,0.306,0.141,0.133,0.204,0.217,,0.48,0.636,0.356,0.398,0.385,0.357,,0.498,0.792,,0.04,233,,0.254,0.391,,15.0,2.0
10,11.0,Indiana Pacers*,82,19980,0.44,12.6,,0.82,0.221,0.201,0.157,0.241,0.18,,0.461,0.621,0.374,0.423,0.412,0.342,,0.58,0.889,,0.037,222,,0.329,0.367,,7.0,0.0
11,12.0,Los Angeles Clippers,82,20030,0.448,11.3,,0.836,0.273,0.226,0.152,0.184,0.164,,0.469,0.637,0.41,0.353,0.391,0.339,,0.505,0.847,,0.043,242,,0.155,0.364,,4.0,0.0
12,13.0,Los Angeles Lakers*,82,19905,0.465,11.9,,0.809,0.285,0.186,0.137,0.201,0.191,,0.494,0.671,0.382,0.402,0.407,0.344,,0.565,0.866,,0.055,350,,0.17,0.378,,12.0,0.0
13,14.0,Miami Heat*,82,19880,0.43,13.0,,0.779,0.25,0.149,0.146,0.233,0.221,,0.455,0.582,0.376,0.389,0.409,0.345,,0.56,0.812,,0.029,152,,0.21,0.379,,14.0,0.0
14,15.0,Milwaukee Bucks*,82,19780,0.458,13.2,,0.782,0.224,0.121,0.258,0.179,0.218,,0.48,0.596,0.413,0.454,0.415,0.379,,0.529,0.879,,0.033,200,,0.274,0.411,,15.0,3.0
15,16.0,Minnesota Timberwolves*,82,19830,0.458,12.5,,0.869,0.236,0.164,0.155,0.315,0.131,,0.473,0.628,0.387,0.403,0.438,0.357,,0.637,0.882,,0.028,177,,0.262,0.398,,9.0,0.0
16,17.0,New Jersey Nets,82,19730,0.425,11.6,,0.835,0.322,0.137,0.132,0.243,0.165,,0.443,0.579,0.366,0.315,0.374,0.333,,0.543,0.798,,0.039,219,,0.199,0.333,,11.0,1.0
17,18.0,New York Knicks*,82,19905,0.444,11.9,,0.82,0.27,0.163,0.184,0.203,0.18,,0.465,0.594,0.395,0.388,0.42,0.351,,0.506,0.826,,0.022,117,,0.227,0.415,,9.0,0.0
18,19.0,Orlando Magic*,82,19955,0.438,12.6,,0.804,0.29,0.117,0.137,0.26,0.196,,0.456,0.584,0.368,0.361,0.404,0.364,,0.548,0.859,,0.033,210,,0.159,0.388,,14.0,0.0
19,20.0,Philadelphia 76ers*,82,19855,0.447,10.8,,0.876,0.276,0.206,0.211,0.184,0.124,,0.464,0.71,0.289,0.358,0.414,0.326,,0.554,0.878,,0.027,163,,0.234,0.388,,8.0,0.0
20,21.0,Phoenix Suns*,82,19805,0.436,11.9,,0.844,0.262,0.172,0.164,0.246,0.156,,0.458,0.61,0.352,0.387,0.418,0.315,,0.615,0.898,,0.039,229,,0.284,0.311,,13.0,0.0
21,22.0,Portland Trail Blazers*,82,19780,0.468,11.9,,0.835,0.299,0.153,0.129,0.254,0.165,,0.492,0.635,0.391,0.409,0.425,0.349,,0.629,0.829,,0.049,293,,0.218,0.343,,8.0,0.0
22,23.0,Sacramento Kings*,82,20080,0.449,11.8,,0.806,0.295,0.185,0.097,0.23,0.194,,0.472,0.644,0.363,0.384,0.377,0.354,,0.554,0.797,,0.035,224,,0.25,0.364,,20.0,2.0
23,24.0,San Antonio Spurs*,82,19830,0.461,11.9,,0.825,0.26,0.183,0.178,0.205,0.175,,0.472,0.652,0.359,0.4,0.406,0.407,,0.569,0.876,,0.053,304,,0.345,0.485,,12.0,1.0
24,25.0,Seattle SuperSonics,82,19805,0.456,10.7,,0.824,0.305,0.226,0.129,0.164,0.176,,0.468,0.643,0.356,0.363,0.377,0.399,,0.538,0.886,,0.036,223,,0.237,0.401,,9.0,0.0
25,26.0,Toronto Raptors*,82,19955,0.437,12.8,,0.833,0.264,0.124,0.145,0.3,0.167,,0.451,0.602,0.35,0.373,0.397,0.369,,0.63,0.828,,0.032,202,,0.223,0.396,,15.0,0.0
26,27.0,Utah Jazz*,82,19780,0.471,10.9,,0.865,0.348,0.134,0.124,0.259,0.135,,0.485,0.625,0.369,0.382,0.404,0.381,,0.693,0.874,,0.037,206,,0.271,0.446,,7.0,0.0
27,28.0,Vancouver Grizzlies,82,19780,0.439,12.9,,0.855,0.217,0.184,0.13,0.323,0.145,,0.455,0.63,0.359,0.375,0.424,0.343,,0.635,0.874,,0.039,231,,0.267,0.316,,3.0,0.0
28,29.0,Washington Wizards,82,19680,0.439,11.3,,0.869,0.249,0.219,0.199,0.202,0.131,,0.456,0.625,0.356,0.397,0.415,0.324,,0.563,0.753,,0.03,177,,0.216,0.361,,3.0,0.0
29,,League Average,82,19840,0.443,12.0,,0.83,0.273,0.168,0.158,0.232,0.17,,0.461,0.619,0.359,0.385,0.4,0.354,,0.572,0.852,,0.036,212,,0.239,0.381,,10.3,0.4
