,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%3PA,3P%
0,1.0,Atlanta Hawks,82,19730,0.442,11.7,,0.837,0.265,0.172,0.204,0.195,0.163,,0.457,0.618,0.333,0.395,0.412,0.367,,0.557,0.833,,0.031,181,,0.249,0.409
1,2.0,Boston Celtics,82,19830,0.459,12.6,,0.817,0.278,0.138,0.142,0.258,0.183,,0.48,0.632,0.365,0.416,0.412,0.368,,0.599,0.893,,0.041,250,,0.217,0.421
2,3.0,Charlotte Hornets*,82,19880,0.426,11.8,,0.834,0.284,0.155,0.164,0.231,0.166,,0.439,0.574,0.369,0.351,0.382,0.36,,0.592,0.877,,0.029,164,,0.232,0.363
3,4.0,Chicago Bulls,82,19855,0.472,11.5,,0.846,0.327,0.127,0.151,0.242,0.154,,0.493,0.634,0.348,0.416,0.427,0.356,,0.618,0.864,,0.042,241,,0.206,0.42
4,5.0,Cleveland Cavaliers,82,19830,0.445,12.0,,0.825,0.272,0.162,0.168,0.222,0.175,,0.462,0.626,0.323,0.397,0.41,0.365,,0.603,0.874,,0.039,223,,0.301,0.374
5,6.0,Dallas Mavericks*,82,19805,0.439,11.2,,0.83,0.321,0.149,0.153,0.207,0.17,,0.46,0.596,0.341,0.369,0.403,0.334,,0.567,0.861,,0.043,255,,0.245,0.38
6,7.0,Denver Nuggets,82,19780,0.446,11.8,,0.831,0.282,0.187,0.119,0.244,0.169,,0.464,0.624,0.362,0.382,0.397,0.356,,0.633,0.851,,0.044,271,,0.255,0.379
7,8.0,Detroit Pistons,82,19855,0.434,12.4,,0.821,0.273,0.13,0.171,0.246,0.179,,0.453,0.577,0.361,0.396,0.405,0.348,,0.586,0.857,,0.034,201,,0.233,0.357
8,9.0,Golden State Warriors,82,19780,0.472,11.2,,0.828,0.295,0.189,0.138,0.206,0.172,,0.491,0.686,0.353,0.385,0.408,0.379,,0.607,0.868,,0.051,305,,0.226,0.405
9,10.0,Houston Rockets,82,19830,0.449,11.9,,0.849,0.259,0.182,0.163,0.246,0.151,,0.465,0.623,0.355,0.44,0.398,0.354,,0.537,0.855,,0.03,186,,0.244,0.367
10,11.0,Indiana Pacers*,82,19980,0.423,12.4,,0.832,0.226,0.205,0.154,0.246,0.168,,0.441,0.599,0.355,0.403,0.39,0.336,,0.566,0.812,,0.031,186,,0.232,0.323
11,12.0,Los Angeles Clippers,82,20030,0.44,11.7,,0.842,0.267,0.189,0.159,0.226,0.158,,0.461,0.625,0.364,0.389,0.399,0.329,,0.565,0.842,,0.036,221,,0.222,0.36
12,13.0,Los Angeles Lakers*,82,19905,0.438,12.4,,0.829,0.25,0.161,0.177,0.24,0.171,,0.455,0.627,0.345,0.395,0.394,0.354,,0.518,0.794,,0.031,193,,0.189,0.398
13,14.0,Miami Heat*,82,19880,0.431,12.3,,0.826,0.253,0.165,0.174,0.234,0.174,,0.452,0.617,0.421,0.369,0.359,0.331,,0.478,0.839,,0.033,189,,0.179,0.359
14,15.0,Milwaukee Bucks*,82,19780,0.439,11.8,,0.812,0.302,0.137,0.169,0.204,0.188,,0.46,0.587,0.378,0.38,0.392,0.352,,0.602,0.9,,0.037,219,,0.274,0.404
15,16.0,Minnesota Timberwolves*,82,19830,0.452,11.2,,0.849,0.307,0.175,0.133,0.234,0.151,,0.47,0.61,0.375,0.372,0.412,0.351,,0.587,0.831,,0.044,258,,0.206,0.4
16,17.0,New Jersey Nets,82,19730,0.455,12.0,,0.816,0.303,0.136,0.14,0.236,0.184,,0.477,0.59,0.374,0.402,0.435,0.36,,0.587,0.855,,0.035,197,,0.26,0.385
17,18.0,New York Knicks*,82,19905,0.417,12.8,,0.794,0.241,0.153,0.174,0.226,0.206,,0.434,0.594,0.357,0.367,0.367,0.352,,0.559,0.867,,0.018,104,,0.263,0.396
18,19.0,Orlando Magic*,82,19955,0.435,11.7,,0.837,0.291,0.148,0.174,0.224,0.163,,0.453,0.608,0.357,0.382,0.371,0.346,,0.597,0.883,,0.04,237,,0.256,0.406
19,20.0,Philadelphia 76ers*,82,19855,0.429,12.5,,0.814,0.231,0.189,0.197,0.197,0.186,,0.448,0.669,0.34,0.317,0.424,0.342,,0.583,0.813,,0.031,183,,0.159,0.437
20,21.0,Phoenix Suns*,82,19805,0.435,11.4,,0.854,0.293,0.162,0.158,0.241,0.146,,0.449,0.599,0.337,0.375,0.392,0.349,,0.561,0.823,,0.039,229,,0.231,0.366
21,22.0,Portland Trail Blazers*,82,19780,0.438,12.2,,0.829,0.273,0.161,0.13,0.265,0.171,,0.452,0.612,0.37,0.368,0.38,0.368,,0.586,0.813,,0.031,180,,0.212,0.38
22,23.0,Sacramento Kings*,82,20080,0.432,12.2,,0.842,0.235,0.206,0.148,0.253,0.158,,0.447,0.631,0.361,0.374,0.389,0.355,,0.55,0.845,,0.031,187,,0.28,0.356
23,24.0,San Antonio Spurs*,82,19830,0.419,11.9,,0.846,0.245,0.188,0.194,0.218,0.154,,0.435,0.574,0.335,0.384,0.412,0.329,,0.541,0.781,,0.032,179,,0.261,0.301
24,25.0,Seattle SuperSonics,82,19805,0.453,12.1,,0.801,0.265,0.179,0.142,0.215,0.199,,0.48,0.66,0.342,0.422,0.41,0.349,,0.595,0.866,,0.042,257,,0.252,0.367
25,26.0,Toronto Raptors*,82,19955,0.447,11.6,,0.845,0.29,0.163,0.16,0.232,0.155,,0.463,0.596,0.394,0.39,0.395,0.363,,0.52,0.865,,0.026,158,,0.243,0.39
26,27.0,Utah Jazz*,82,19780,0.439,13.0,,0.803,0.25,0.147,0.136,0.272,0.197,,0.462,0.611,0.364,0.399,0.41,0.343,,0.529,0.9,,0.037,196,,0.245,0.394
27,28.0,Vancouver Grizzlies,82,19780,0.463,11.8,,0.842,0.265,0.191,0.147,0.238,0.158,,0.482,0.687,0.363,0.37,0.417,0.362,,0.584,0.843,,0.041,261,,0.267,0.38
28,29.0,Washington Wizards,82,19680,0.47,11.8,,0.834,0.265,0.2,0.144,0.225,0.166,,0.485,0.685,0.377,0.385,0.409,0.396,,0.572,0.871,,0.036,223,,0.269,0.395
29,,League Average,82,19846,0.443,12.0,,0.83,0.273,0.168,0.158,0.232,0.17,,0.461,0.619,0.359,0.385,0.4,0.354,,0.572,0.852,,0.036,212,,0.239,0.381
