,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%
0,1.0,Atlanta Hawks,82,19855,0.476,11.4,,0.807,0.334,0.13,0.143,0.201,0.193,,0.5,0.609,0.436,0.384,0.441,0.379,,0.546,0.846,,0.063,385,,0.25,827,,0.288,0.434
1,2.0,Boston Celtics*,82,19880,0.444,12.1,,0.794,0.332,0.118,0.121,0.224,0.206,,0.467,0.599,0.355,0.373,0.381,0.356,,0.583,0.857,,0.056,353,,0.259,891,,0.293,0.388
2,3.0,Charlotte Bobcats,82,19880,0.463,11.4,,0.812,0.348,0.127,0.116,0.222,0.188,,0.487,0.594,0.381,0.411,0.42,0.361,,0.539,0.86,,0.066,383,,0.253,851,,0.293,0.418
3,4.0,Chicago Bulls*,82,19830,0.422,12.7,,0.81,0.29,0.104,0.146,0.27,0.19,,0.443,0.551,0.391,0.378,0.381,0.334,,0.569,0.911,,0.041,239,,0.23,745,,0.289,0.353
4,5.0,Cleveland Cavaliers,82,19855,0.452,11.7,,0.826,0.315,0.143,0.142,0.226,0.174,,0.468,0.589,0.348,0.389,0.425,0.376,,0.552,0.855,,0.056,337,,0.235,788,,0.261,0.43
5,6.0,Dallas Mavericks*,82,19730,0.438,11.9,,0.796,0.319,0.138,0.12,0.219,0.204,,0.466,0.593,0.369,0.376,0.39,0.33,,0.536,0.843,,0.052,318,,0.246,854,,0.288,0.382
6,7.0,Denver Nuggets*,82,19755,0.447,12.3,,0.797,0.305,0.13,0.11,0.252,0.203,,0.472,0.608,0.403,0.394,0.379,0.345,,0.555,0.857,,0.05,305,,0.229,826,,0.288,0.351
7,8.0,Detroit Pistons*,82,19955,0.43,12.1,,0.813,0.319,0.105,0.134,0.255,0.187,,0.451,0.562,0.371,0.376,0.384,0.338,,0.542,0.798,,0.045,273,,0.251,811,,0.288,0.335
8,9.0,Golden State Warriors,82,19905,0.458,11.8,,0.819,0.282,0.189,0.124,0.224,0.181,,0.479,0.651,0.349,0.395,0.419,0.363,,0.544,0.887,,0.045,292,,0.224,903,,0.264,0.394
9,10.0,Houston Rockets*,82,19855,0.423,13.2,,0.791,0.257,0.128,0.136,0.271,0.209,,0.446,0.561,0.388,0.402,0.387,0.338,,0.568,0.903,,0.043,244,,0.198,634,,0.234,0.392
10,11.0,Indiana Pacers*,82,19905,0.44,12.0,,0.83,0.291,0.153,0.143,0.243,0.17,,0.456,0.57,0.406,0.386,0.392,0.365,,0.517,0.798,,0.041,236,,0.226,738,,0.252,0.381
11,12.0,Los Angeles Clippers,82,20030,0.444,12.0,,0.801,0.309,0.138,0.127,0.227,0.199,,0.462,0.569,0.413,0.359,0.404,0.368,,0.538,0.854,,0.049,288,,0.236,794,,0.23,0.446
12,13.0,Los Angeles Lakers,82,19780,0.453,12.6,,0.78,0.293,0.127,0.122,0.238,0.22,,0.479,0.587,0.437,0.377,0.422,0.361,,0.586,0.88,,0.051,309,,0.223,821,,0.274,0.381
13,14.0,Memphis Grizzlies*,82,19705,0.432,12.0,,0.805,0.323,0.121,0.119,0.241,0.195,,0.452,0.548,0.374,0.364,0.405,0.351,,0.564,0.845,,0.052,288,,0.247,723,,0.284,0.348
14,15.0,Miami Heat*,82,19980,0.427,12.7,,0.811,0.259,0.141,0.146,0.265,0.189,,0.446,0.566,0.393,0.353,0.408,0.348,,0.512,0.857,,0.04,239,,0.198,670,,0.231,0.389
15,16.0,Milwaukee Bucks,82,19780,0.464,11.9,,0.798,0.322,0.122,0.142,0.212,0.202,,0.494,0.622,0.432,0.427,0.381,0.343,,0.588,0.873,,0.057,356,,0.233,874,,0.298,0.346
16,17.0,Minnesota Timberwolves,82,19755,0.438,12.0,,0.81,0.311,0.134,0.126,0.239,0.19,,0.456,0.579,0.373,0.38,0.381,0.363,,0.555,0.846,,0.053,325,,0.237,818,,0.266,0.356
17,18.0,New Jersey Nets*,82,19905,0.439,12.7,,0.786,0.287,0.121,0.127,0.251,0.214,,0.459,0.556,0.383,0.377,0.425,0.368,,0.562,0.858,,0.042,234,,0.219,675,,0.296,0.387
18,19.0,New Orleans Hornets,82,19930,0.452,12.5,,0.786,0.307,0.111,0.117,0.252,0.214,,0.475,0.596,0.433,0.39,0.385,0.367,,0.558,0.866,,0.049,280,,0.236,796,,0.281,0.368
19,20.0,New York Knicks,82,19880,0.465,11.8,,0.802,0.311,0.146,0.123,0.223,0.198,,0.49,0.62,0.394,0.41,0.415,0.364,,0.52,0.817,,0.053,319,,0.228,821,,0.266,0.363
20,21.0,Orlando Magic,82,19705,0.451,11.8,,0.811,0.323,0.121,0.138,0.228,0.189,,0.477,0.584,0.429,0.374,0.412,0.343,,0.52,0.847,,0.048,305,,0.251,902,,0.271,0.363
21,22.0,Philadelphia 76ers*,82,19855,0.443,13.0,,0.764,0.282,0.109,0.145,0.228,0.236,,0.468,0.605,0.393,0.364,0.4,0.362,,0.585,0.874,,0.046,282,,0.213,741,,0.278,0.406
22,23.0,Phoenix Suns*,82,19780,0.445,12.4,,0.803,0.308,0.112,0.126,0.256,0.197,,0.472,0.602,0.413,0.349,0.401,0.335,,0.47,0.826,,0.051,342,,0.235,955,,0.238,0.409
