,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Chicago Bulls*,82,19780,36.2,83.1,0.435,6.3,18.0,0.349,29.9,65.2,0.459,21.0,28.8,0.73,11.6,31.8,43.4,21.7,8.0,5.6,18.5,24.6,99.6
1,2,San Antonio Spurs*,82,19780,38.7,87.4,0.443,5.0,14.9,0.334,33.7,72.5,0.465,17.6,23.7,0.74,11.2,32.2,43.4,19.1,7.8,4.6,15.9,23.5,99.9
2,3,Houston Rockets*,82,19855,37.2,86.7,0.429,6.3,17.9,0.351,30.9,68.7,0.45,19.9,26.7,0.749,10.7,34.0,44.6,21.2,7.6,4.7,15.5,21.7,100.7
3,4,Cleveland Cavaliers*,82,19880,37.7,84.3,0.448,5.4,16.4,0.329,32.3,67.9,0.476,20.5,27.9,0.734,10.7,32.7,43.4,21.9,7.2,4.6,16.7,24.0,101.3
4,5,Dallas Mavericks*,82,19755,37.9,84.7,0.447,5.1,14.6,0.349,32.8,70.1,0.467,22.4,30.1,0.746,11.4,31.0,42.4,20.0,7.7,4.2,16.1,24.6,103.2
5,6,Orlando Magic*,82,19780,37.0,83.6,0.442,6.2,17.6,0.353,30.8,66.0,0.466,23.9,31.4,0.76,11.7,29.9,41.6,21.7,9.2,5.1,16.6,25.9,104.1
6,7,Detroit Pistons*,82,19880,39.0,87.7,0.445,5.7,16.7,0.339,33.3,71.0,0.47,20.5,27.7,0.74,13.5,33.2,46.7,22.8,7.2,4.0,16.7,23.1,104.2
7,8,Miami Heat*,82,19855,38.9,87.6,0.444,7.1,20.1,0.355,31.8,67.5,0.471,20.3,27.4,0.742,12.4,33.2,45.5,22.3,7.6,4.2,15.9,24.1,105.3
8,9,Indiana Pacers,82,19780,38.5,84.2,0.457,5.7,15.4,0.372,32.7,68.8,0.476,22.8,30.3,0.753,12.0,32.8,44.8,21.6,8.5,5.4,16.9,25.5,105.5
9,10,Los Angeles Clippers,82,19730,39.0,86.3,0.452,6.1,18.0,0.339,32.9,68.3,0.482,21.5,28.7,0.748,11.3,31.9,43.2,23.1,7.8,4.3,15.2,24.5,105.6
10,11,Denver Nuggets*,82,19780,40.6,88.3,0.46,6.9,19.5,0.353,33.7,68.7,0.49,17.9,24.2,0.739,12.5,30.6,43.2,25.0,8.5,5.3,16.7,24.2,105.9
11,12,Toronto Raptors*,82,19755,40.0,86.5,0.463,7.0,19.6,0.357,33.0,67.0,0.494,18.9,25.1,0.754,11.1,34.7,45.8,22.9,6.4,4.2,16.3,23.4,106.0
12,13,Phoenix Suns*,82,19905,40.8,89.3,0.457,6.4,17.5,0.363,34.5,71.9,0.48,18.4,24.0,0.767,12.7,31.6,44.3,19.5,7.1,3.8,15.7,22.2,106.4
13,14,New Orleans/Oklahoma City Hornets,82,19880,40.2,88.0,0.457,7.5,21.1,0.355,32.7,67.0,0.489,18.7,24.6,0.759,11.4,33.4,44.8,22.8,7.4,5.2,15.0,23.2,106.5
14,15,New Jersey Nets*,82,19880,38.5,85.6,0.45,6.9,19.2,0.357,31.6,66.3,0.476,22.8,29.9,0.762,11.5,33.4,44.8,23.9,7.7,4.9,15.7,24.9,106.6
15,16,Philadelphia 76ers,82,19880,40.4,87.4,0.463,6.7,19.0,0.353,33.8,68.5,0.493,19.3,25.6,0.754,12.9,32.0,44.9,24.3,8.1,4.3,17.0,24.0,106.9
16,17,Boston Celtics,82,19855,39.0,83.2,0.468,5.6,15.9,0.354,33.3,67.3,0.495,23.3,31.2,0.747,11.1,32.5,43.7,23.8,7.9,5.9,16.4,23.1,106.9
