,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks*,82,19730,0.466,12.7,,0.679,0.291,0.157,0.08,0.151,0.321,,0.506,0.635,0.393,0.386,0.441,0.38,,0.591,0.918,,0.038,225,,0.249,1000,,0.275,0.421,,3.0,0.0
1,2.0,Boston Celtics*,82,19880,0.443,12.8,,0.72,0.28,0.144,0.103,0.193,0.28,,0.488,0.621,0.384,0.407,0.416,0.327,,0.565,0.877,,0.041,267,,0.228,958,,0.204,0.374,,16.0,0.0
2,3.0,Brooklyn Nets*,82,19930,0.451,11.9,,0.76,0.269,0.213,0.115,0.163,0.24,,0.489,0.615,0.444,0.408,0.397,0.331,,0.488,0.887,,0.04,243,,0.218,860,,0.285,0.389,,24.0,0.0
3,4.0,Chicago Bulls*,82,19880,0.442,12.2,,0.731,0.312,0.156,0.1,0.163,0.269,,0.474,0.586,0.392,0.372,0.401,0.353,,0.525,0.842,,0.038,237,,0.261,950,,0.218,0.388,,18.0,2.0
4,5.0,Charlotte Hornets,82,19905,0.42,12.8,,0.774,0.263,0.153,0.124,0.234,0.226,,0.45,0.572,0.382,0.389,0.39,0.318,,0.521,0.791,,0.032,202,,0.22,800,,0.176,0.389,,16.0,0.0
5,6.0,Cleveland Cavaliers*,82,19780,0.458,12.8,,0.666,0.295,0.155,0.092,0.124,0.334,,0.504,0.647,0.36,0.387,0.432,0.367,,0.509,0.803,,0.064,393,,0.215,848,,0.289,0.365,,4.0,1.0
6,7.0,Dallas Mavericks*,82,19880,0.463,12.8,,0.704,0.288,0.14,0.094,0.182,0.296,,0.509,0.659,0.382,0.42,0.417,0.352,,0.482,0.857,,0.057,364,,0.22,933,,0.229,0.393,,10.0,1.0
7,8.0,Denver Nuggets,82,19880,0.433,12.3,,0.716,0.299,0.176,0.09,0.152,0.284,,0.476,0.622,0.351,0.396,0.379,0.325,,0.506,0.839,,0.057,358,,0.224,901,,0.236,0.344,,22.0,1.0
8,9.0,Detroit Pistons,82,19830,0.432,11.8,,0.71,0.324,0.192,0.065,0.128,0.29,,0.468,0.6,0.329,0.382,0.386,0.344,,0.512,0.815,,0.043,273,,0.247,981,,0.24,0.396,,20.0,0.0
9,10.0,Golden State Warriors*,82,19730,0.478,13.1,,0.689,0.288,0.143,0.104,0.154,0.311,,0.514,0.673,0.372,0.442,0.397,0.398,,0.602,0.821,,0.062,396,,0.206,939,,0.221,0.459,,24.0,0.0
10,11.0,Houston Rockets*,82,19805,0.444,12.7,,0.608,0.31,0.183,0.047,0.068,0.392,,0.506,0.635,0.392,0.351,0.328,0.348,,0.496,0.833,,0.057,361,,0.252,976,,0.328,0.394,,17.0,0.0
11,12.0,Indiana Pacers,82,19855,0.439,13.0,,0.745,0.245,0.172,0.105,0.222,0.255,,0.469,0.604,0.399,0.378,0.418,0.352,,0.516,0.858,,0.027,155,,0.203,797,,0.266,0.383,,17.0,0.0
12,13.0,Los Angeles Clippers*,82,19730,0.473,14.1,,0.678,0.242,0.119,0.097,0.219,0.322,,0.519,0.68,0.408,0.437,0.437,0.376,,0.563,0.82,,0.063,386,,0.166,705,,0.265,0.396,,11.0,0.0
13,14.0,Los Angeles Lakers,82,19930,0.435,12.5,,0.78,0.265,0.15,0.132,0.233,0.22,,0.461,0.651,0.348,0.374,0.366,0.344,,0.527,0.726,,0.043,276,,0.205,859,,0.183,0.396,,7.0,0.0
14,15.0,Memphis Grizzlies*,82,19905,0.458,11.0,,0.816,0.308,0.199,0.129,0.179,0.184,,0.485,0.621,0.405,0.42,0.386,0.339,,0.528,0.865,,0.029,173,,0.263,1074,,0.262,0.383,,22.0,2.0
15,16.0,Miami Heat,82,19730,0.456,12.4,,0.738,0.295,0.142,0.118,0.184,0.262,,0.499,0.629,0.438,0.424,0.385,0.335,,0.481,0.905,,0.047,277,,0.238,860,,0.319,0.374,,17.0,1.0
16,17.0,Milwaukee Bucks*,82,19930,0.459,11.4,,0.777,0.338,0.136,0.11,0.193,0.223,,0.486,0.608,0.352,0.438,0.394,0.363,,0.571,0.888,,0.052,320,,0.259,977,,0.316,0.403,,4.0,0.0
17,18.0,Minnesota Timberwolves,82,19805,0.438,11.6,,0.821,0.287,0.176,0.122,0.235,0.179,,0.461,0.622,0.361,0.41,0.365,0.332,,0.557,0.825,,0.054,332,,0.217,826,,0.219,0.366,,12.0,0.0
18,19.0,New Orleans Pelicans*,82,19780,0.457,11.4,,0.767,0.348,0.152,0.098,0.169,0.233,,0.484,0.591,0.383,0.406,0.398,0.37,,0.513,0.875,,0.05,313,,0.286,1052,,0.239,0.412,,17.0,0.0
19,20.0,New York Knicks,82,19855,0.428,13.3,,0.76,0.241,0.147,0.126,0.247,0.24,,0.454,0.587,0.363,0.393,0.41,0.347,,0.55,0.836,,0.035,213,,0.198,715,,0.187,0.351,,16.0,1.0
20,21.0,Oklahoma City Thunder,82,19830,0.447,11.9,,0.738,0.304,0.156,0.113,0.165,0.262,,0.486,0.615,0.385,0.436,0.377,0.339,,0.461,0.797,,0.051,328,,0.233,933,,0.247,0.373,,12.0,0.0
21,22.0,Orlando Magic,82,19755,0.453,11.5,,0.765,0.317,0.182,0.094,0.172,0.235,,0.486,0.611,0.386,0.383,0.415,0.347,,0.48,0.868,,0.052,315,,0.241,929,,0.26,0.373,,11.0,0.0
